dk_region,glasser_lobe,hcp_thck_col_L,hcp_thck_col_R,hcp_area_col_L,hcp_area_col_R
Bankssts,Temporal,FS_L_Bankssts_Thck,FS_R_Bankssts_Thck,FS_L_Bankssts_Area,FS_R_Bankssts_Area
Caudalanteriorcingulate,Frontal,FS_L_Caudalanteriorcingulate_Thck,FS_R_Caudalanteriorcingulate_Thck,FS_L_Caudalanteriorcingulate_Area,FS_R_Caudalanteriorcingulate_Area
Caudalmiddlefrontal,Frontal,FS_L_Caudalmiddlefrontal_Thck,FS_R_Caudalmiddlefrontal_Thck,FS_L_Caudalmiddlefrontal_Area,FS_R_Caudalmiddlefrontal_Area
Cuneus,Occipital,FS_L_Cuneus_Thck,FS_R_Cuneus_Thck,FS_L_Cuneus_Area,FS_R_Cuneus_Area
Entorhinal,Temporal,FS_L_Entorhinal_Thck,FS_R_Entorhinal_Thck,FS_L_Entorhinal_Area,FS_R_Entorhinal_Area
Fusiform,Temporal,FS_L_Fusiform_Thck,FS_R_Fusiform_Thck,FS_L_Fusiform_Area,FS_R_Fusiform_Area
Inferiorparietal,Parietal,FS_L_Inferiorparietal_Thck,FS_R_Inferiorparietal_Thck,FS_L_Inferiorparietal_Area,FS_R_Inferiorparietal_Area
Inferiortemporal,Temporal,FS_L_Inferiortemporal_Thck,FS_R_Inferiortemporal_Thck,FS_L_Inferiortemporal_Area,FS_R_Inferiortemporal_Area
Isthmuscingulate,Parietal,FS_L_Isthmuscingulate_Thck,FS_R_Isthmuscingulate_Thck,FS_L_Isthmuscingulate_Area,FS_R_Isthmuscingulate_Area
Lateraloccipital,Occipital,FS_L_Lateraloccipital_Thck,FS_R_Lateraloccipital_Thck,FS_L_Lateraloccipital_Area,FS_R_Lateraloccipital_Area
Lateralorbitofrontal,Frontal,FS_L_Lateralorbitofrontal_Thck,FS_R_Lateralorbitofrontal_Thck,FS_L_Lateralorbitofrontal_Area,FS_R_Lateralorbitofrontal_Area
Lingual,Occipital,FS_L_Lingual_Thck,FS_R_Lingual_Thck,FS_L_Lingual_Area,FS_R_Lingual_Area
Medialorbitofrontal,Frontal,FS_L_Medialorbitofrontal_Thck,FS_R_Medialorbitofrontal_Thck,FS_L_Medialorbitofrontal_Area,FS_R_Medialorbitofrontal_Area
Middletemporal,Temporal,FS_L_Middletemporal_Thck,FS_R_Middletemporal_Thck,FS_L_Middletemporal_Area,FS_R_Middletemporal_Area
Parahippocampal,Temporal,FS_L_Parahippocampal_Thck,FS_R_Parahippocampal_Thck,FS_L_Parahippocampal_Area,FS_R_Parahippocampal_Area
Paracentral,Parietal,FS_L_Paracentral_Thck,FS_R_Paracentral_Thck,FS_L_Paracentral_Area,FS_R_Paracentral_Area
Parsopercularis,Frontal,FS_L_Parsopercularis_Thck,FS_R_Parsopercularis_Thck,FS_L_Parsopercularis_Area,FS_R_Parsopercularis_Area
Parsorbitalis,Frontal,FS_L_Parsorbitalis_Thck,FS_R_Parsorbitalis_Thck,FS_L_Parsorbitalis_Area,FS_R_Parsorbitalis_Area
Parstriangularis,Frontal,FS_L_Parstriangularis_Thck,FS_R_Parstriangularis_Thck,FS_L_Parstriangularis_Area,FS_R_Parstriangularis_Area
Pericalcarine,Occipital,FS_L_Pericalcarine_Thck,FS_R_Pericalcarine_Thck,FS_L_Pericalcarine_Area,FS_R_Pericalcarine_Area
Postcentral,Parietal,FS_L_Postcentral_Thck,FS_R_Postcentral_Thck,FS_L_Postcentral_Area,FS_R_Postcentral_Area
Posteriorcingulate,Parietal,FS_L_Posteriorcingulate_Thck,FS_R_Posteriorcingulate_Thck,FS_L_Posteriorcingulate_Area,FS_R_Posteriorcingulate_Area
Precentral,Frontal,FS_L_Precentral_Thck,FS_R_Precentral_Thck,FS_L_Precentral_Area,FS_R_Precentral_Area
Precuneus,Parietal,FS_L_Precuneus_Thck,FS_R_Precuneus_Thck,FS_L_Precuneus_Area,FS_R_Precuneus_Area
Rostralanteriorcingulate,Frontal,FS_L_Rostralanteriorcingulate_Thck,FS_R_Rostralanteriorcingulate_Thck,FS_L_Rostralanteriorcingulate_Area,FS_R_Rostralanteriorcingulate_Area
Rostralmiddlefrontal,Frontal,FS_L_Rostralmiddlefrontal_Thck,FS_R_Rostralmiddlefrontal_Thck,FS_L_Rostralmiddlefrontal_Area,FS_R_Rostralmiddlefrontal_Area
Superiorfrontal,Frontal,FS_L_Superiorfrontal_Thck,FS_R_Superiorfrontal_Thck,FS_L_Superiorfrontal_Area,FS_R_Superiorfrontal_Area
Superiorparietal,Parietal,FS_L_Superiorparietal_Thck,FS_R_Superiorparietal_Thck,FS_L_Superiorparietal_Area,FS_R_Superiorparietal_Area
Superiortemporal,Temporal,FS_L_Superiortemporal_Thck,FS_R_Superiortemporal_Thck,FS_L_Superiortemporal_Area,FS_R_Superiortemporal_Area
Supramarginal,Parietal,FS_L_Supramarginal_Thck,FS_R_Supramarginal_Thck,FS_L_Supramarginal_Area,FS_R_Supramarginal_Area
Frontalpole,Frontal,FS_L_Frontalpole_Thck,FS_R_Frontalpole_Thck,FS_L_Frontalpole_Area,FS_R_Frontalpole_Area
Temporalpole,Temporal,FS_L_Temporalpole_Thck,FS_R_Temporalpole_Thck,FS_L_Temporalpole_Area,FS_R_Temporalpole_Area
Transversetemporal,Temporal,FS_L_Transversetemporal_Thck,FS_R_Transversetemporal_Thck,FS_L_Transversetemporal_Area,FS_R_Transversetemporal_Area
Insula,Insular,FS_L_Insula_Thck,FS_R_Insula_Thck,FS_L_Insula_Area,FS_R_Insula_Area
